objectid;cl;nome_completo;area_plane;cod_rp;rp;codra;regiao_adm;cb_imovel;nome;tributacao;tot_imoveis;area_territ;exercicio
1;60400;Rua Camerino;1;1.1;Centro;1;PORTUARIA               ;1;Saúde                     ;T;2;588;2023
2;62364;Avenida Rodrigues Alves;1;1.1;Centro;1;PORTUARIA               ;1;Saúde                     ;T;3;4860;2023
3;63867;Rua Sacadura Cabral;1;1.1;Centro;1;PORTUARIA               ;1;Saúde                     ;T;7;5178;2023
4;63966;Avenida Venezuela;1;1.1;Centro;1;PORTUARIA               ;1;Saúde                     ;T;3;1778;2023
5;74393;Ladeira João Homem;1;1.1;Centro;1;PORTUARIA               ;1;Saúde                     ;T;4;9293;2023
6;74401;Beco João Inácio;1;1.1;Centro;1;PORTUARIA               ;1;Saúde                     ;T;1;475;2023
7;74740;Rua do Jogo da Bola;1;1.1;Centro;1;PORTUARIA               ;1;Saúde                     ;T;1;110;2023
8;76950;Rua Mato Grosso;1;1.1;Centro;1;PORTUARIA               ;1;Saúde                     ;T;2;248;2023
9;77578;Ladeira Morro do Valongo;1;1.1;Centro;1;PORTUARIA               ;1;Saúde                     ;T;3;349;2023
10;79020;Ladeira Pedro Antônio;1;1.1;Centro;1;PORTUARIA               ;1;Saúde                     ;T;1;367;2023
11;81638;Travessa do Sereno;1;1.1;Centro;1;PORTUARIA               ;1;Saúde                     ;T;2;1238;2023
12;60384;Rua Alfredo Dolabela Portela;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;1;55;2023
13;61044;Rua da Gambôa;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;13;45811;2023
14;61960;Rua Costa Ferreira;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;1;585;2023
15;62364;Avenida Rodrigues Alves;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;2;3228;2023
16;62711;Rua Senador Pompeu;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;1;377;2023
17;63040;Rua Visconde da Gávea;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;3;246;2023
18;63206;Rua Barão da Gambôa;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;3;19699;2023
19;63362;Rua Conselheiro Zacarias;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;1;107;2023
20;63438;Beco das Escadinhas do Livramento;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;3;719;2023
21;63511;Rua Pedro Ernesto;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;1;138;2023
22;63586;Rua João Alvares;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;3;1285;2023
23;63669;Rua do Livramento;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;10;4015;2023
24;63701;Ladeira Morro da Saúde;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;3;873;2023
25;63818;Rua Rivadávia Corrêa;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;1;86632;2023
26;63867;Rua Sacadura Cabral;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;3;343;2023
27;63966;Avenida Venezuela;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;2;10700;2023
28;66639;Ladeira Barroso;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;13;4874;2023
29;66829;Rua Bento Teixeira;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;27;5605;2023
30;69245;Rua Cunha Barbosa;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;4;7220;2023
31;71241;Ladeira do Faria;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;5;1326;2023
32;75432;Ladeira do Livramento;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;2;342;2023
33;77933;Rua Noêmia;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;1;0;2023
34;80192;Rua Rego Barros;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;1;4788;2023
35;89821;Rua Coronel Audomaro Costa;1;1.1;Centro;1;PORTUARIA               ;2;Gamboa                    ;T;1;42;2023
36;60079;Rua General Luis Mendes de Morais;1;1.1;Centro;1;PORTUARIA               ;3;Santo Cristo              ;T;1;19607;2023
37;60095;Rua da América;1;1.1;Centro;1;PORTUARIA               ;3;Santo Cristo              ;T;6;1164;2023
38;60228;Rua Barão de Angra;1;1.1;Centro;1;PORTUARIA               ;3;Santo Cristo              ;T;1;96;2023
39;60525;Rua Carmo Neto;1;1.1;Centro;1;PORTUARIA               ;3;Santo Cristo              ;T;2;235;2023
40;60608;Rua Comandante Maurity;1;1.1;Centro;1;PORTUARIA               ;3;Santo Cristo              ;T;1;65;2023
41;60624;Rua Comendador Leonardo;1;1.1;Centro;1;PORTUARIA               ;3;Santo Cristo              ;T;2;459;2023
42;60699;Rua Cordeiro da Graça;1;1.1;Centro;1;PORTUARIA               ;3;Santo Cristo              ;T;1;2557;2023
43;60855;Rua Equador;1;1.1;Centro;1;PORTUARIA               ;3;Santo Cristo              ;T;1;1070;2023
